run_id,sample_index,wall_time_iso,sim_time,round,paused,ai_enabled,ai_mode,ai_mode_timer,ai_stable_time,selected_index,human_override_active,vesicle_count,attached_count,cargo_count,avg_vesicle_speed,max_vesicle_speed,vesicle_centroid_x,vesicle_centroid_y,vesicle_centroid_z,selected_x,selected_y,selected_z,selected_speed,selected_attached,selected_cargo,mark_count,marked_organelle_count,nucleus_marks,mitochondrion_marks,spill_count,wrap_count,marker_count,flow_particle_count,ribosome_count,completion
20260526-202723-sentence-script-a-semi-transparent-cell-6760fd,0,2026-05-27T01:27:23.861468+00:00,0.0,1,False,True,PLAYFUL_FLOW,0.0,0.0,0,False,16,4,0,0.504045,0.646717,0.115061,-0.097185,-0.700754,0.341093,1.293505,1.567458,0.425392,False,False,2,2,1,1,0,1,2,55,90,False
20260526-202723-sentence-script-a-semi-transparent-cell-6760fd,1,2026-05-27T01:27:23.942114+00:00,0.116667,1,False,True,PLAYFUL_FLOW,0.116667,0.0,0,False,16,4,0,0.610664,1.602597,0.504087,-0.49552,-0.582739,0.351733,1.271953,1.608463,0.394772,False,False,2,2,1,1,0,1,2,55,90,False
20260526-202723-sentence-script-a-semi-transparent-cell-6760fd,2,2026-05-27T01:27:24.026325+00:00,0.233333,1,False,True,PLAYFUL_FLOW,0.233333,0.0,0,False,16,4,0,0.602528,1.607103,0.505882,-0.49598,-0.570278,0.357942,1.252953,1.64799,0.369123,False,False,2,2,1,1,0,1,2,55,90,False
20260526-202723-sentence-script-a-semi-transparent-cell-6760fd,3,2026-05-27T01:27:24.096601+00:00,0.333333,1,False,True,PLAYFUL_FLOW,0.333333,0.0,0,False,16,4,0,0.600139,1.598742,0.508059,-0.496706,-0.557536,0.359651,1.23875,1.680843,0.35145,False,False,2,2,1,1,0,1,2,55,90,False
20260526-202723-sentence-script-a-semi-transparent-cell-6760fd,4,2026-05-27T01:27:24.177111+00:00,0.45,1,False,True,PLAYFUL_FLOW,0.45,0.0,0,False,16,4,0,0.602448,1.586341,0.511396,-0.497799,-0.540668,0.357412,1.224587,1.71815,0.337116,False,False,2,2,1,1,0,1,2,55,90,False
20260526-202723-sentence-script-a-semi-transparent-cell-6760fd,5,2026-05-27T01:27:24.248249+00:00,0.55,1,False,True,PLAYFUL_FLOW,0.55,0.0,0,False,16,4,0,0.608681,1.573769,0.514946,-0.498818,-0.524815,0.351816,1.214515,1.749391,0.331242,False,False,2,2,1,1,0,1,2,55,90,False
20260526-202723-sentence-script-a-semi-transparent-cell-6760fd,6,2026-05-27T01:27:24.319655+00:00,0.65,1,False,True,PLAYFUL_FLOW,0.65,0.0,0,False,16,4,0,0.618273,1.559804,0.519131,-0.499815,-0.50799,0.342783,1.206273,1.780071,0.330877,False,False,2,2,1,1,0,1,2,55,90,False
20260526-202723-sentence-script-a-semi-transparent-cell-6760fd,7,2026-05-27T01:27:24.388407+00:00,0.75,1,False,True,PLAYFUL_FLOW,0.75,0.0,0,False,16,4,0,0.630781,1.544923,0.523934,-0.500719,-0.490478,0.330295,1.199814,1.81034,0.336979,False,False,2,2,1,1,0,1,2,55,90,False
20260526-202723-sentence-script-a-semi-transparent-cell-6760fd,8,2026-05-27T01:27:24.458174+00:00,0.85,1,False,True,PLAYFUL_FLOW,0.85,0.0,0,False,16,4,0,0.645694,1.52969,0.529307,-0.501487,-0.472554,0.314279,1.195014,1.840235,0.347533,False,False,2,2,1,1,0,1,2,55,90,False
20260526-202723-sentence-script-a-semi-transparent-cell-6760fd,9,2026-05-27T01:27:24.527497+00:00,0.95,1,False,True,PLAYFUL_FLOW,0.95,0.0,0,False,16,4,0,0.662315,1.514744,0.535212,-0.502086,-0.454458,0.294787,1.191836,1.869806,0.362218,False,False,2,2,1,1,0,1,2,55,90,False
20260526-202723-sentence-script-a-semi-transparent-cell-6760fd,10,2026-05-27T01:27:24.625524+00:00,1.066667,1,False,True,PLAYFUL_FLOW,1.066667,0.0,0,False,16,4,0,0.683443,1.498579,0.542694,-0.502574,-0.433438,0.267633,1.190006,1.903903,0.383642,False,False,2,2,1,1,0,1,2,55,90,False
20260526-202723-sentence-script-a-semi-transparent-cell-6760fd,11,2026-05-27T01:27:24.744467+00:00,1.183333,1,False,True,PLAYFUL_FLOW,1.183333,0.0,0,False,16,4,0,0.706081,1.484821,0.550731,-0.502842,-0.412825,0.235701,1.190023,1.937636,0.409602,False,False,2,2,1,1,0,1,2,55,90,False
20260526-202723-sentence-script-a-semi-transparent-cell-6760fd,12,2026-05-27T01:27:24.864283+00:00,1.3,1,False,True,PLAYFUL_FLOW,1.3,0.0,0,False,16,4,0,0.729619,1.474466,0.559226,-0.502913,-0.392887,0.199033,1.191649,1.970979,0.437344,False,False,2,2,1,1,0,1,2,55,90,False
20260526-202723-sentence-script-a-semi-transparent-cell-6760fd,13,2026-05-27T01:27:24.982929+00:00,1.416667,1,False,True,PLAYFUL_FLOW,1.416667,0.0,0,False,16,4,0,0.753659,1.468305,0.568085,-0.502814,-0.373865,0.157654,1.194625,2.003904,0.467119,False,False,2,2,1,1,0,1,2,55,90,False
20260526-202723-sentence-script-a-semi-transparent-cell-6760fd,14,2026-05-27T01:27:25.102192+00:00,1.533333,1,False,True,PLAYFUL_FLOW,1.533333,0.0,0,False,16,4,0,0.777903,1.466825,0.577208,-0.502545,-0.35597,0.111592,1.198739,2.036433,0.497843,False,False,2,2,1,1,0,1,2,55,90,False
20260526-202723-sentence-script-a-semi-transparent-cell-6760fd,15,2026-05-27T01:27:25.221645+00:00,1.65,1,False,True,PLAYFUL_FLOW,1.65,0.0,0,False,16,4,0,0.802049,1.470147,0.586478,-0.502084,-0.339387,0.060982,1.203744,2.06855,0.528778,False,False,2,2,1,1,0,1,2,55,90,False
20260526-202723-sentence-script-a-semi-transparent-cell-6760fd,16,2026-05-27T01:27:25.341043+00:00,1.766667,1,False,True,PLAYFUL_FLOW,1.766667,0.0,0,False,16,4,0,0.825973,1.478004,0.595774,-0.501398,-0.324286,0.005925,1.209438,2.100094,0.558939,False,False,2,2,1,1,0,1,2,55,90,False
20260526-202723-sentence-script-a-semi-transparent-cell-6760fd,17,2026-05-27T01:27:25.462102+00:00,1.883333,1,False,True,PLAYFUL_FLOW,1.883333,0.0,0,False,16,4,0,0.84961,1.48978,0.604931,-0.500434,-0.310833,-0.053452,1.215524,2.130932,0.588478,False,False,2,2,1,1,0,1,2,55,90,False
20260526-202723-sentence-script-a-semi-transparent-cell-6760fd,18,2026-05-27T01:27:25.582516+00:00,2.0,1,False,True,PLAYFUL_FLOW,2.0,0.0,0,False,16,4,0,0.872588,1.504593,0.613761,-0.499124,-0.299189,-0.116978,1.22183,2.160974,0.61694,False,False,2,2,1,1,0,1,2,55,90,False
20260526-202723-sentence-script-a-semi-transparent-cell-6760fd,19,2026-05-27T01:27:25.701537+00:00,2.116667,1,False,True,PLAYFUL_FLOW,2.116667,0.0,0,False,16,4,0,0.894971,1.521398,0.62204,-0.497414,-0.289454,-0.18451,1.228197,2.190069,0.644373,False,False,2,2,1,1,0,1,2,55,90,False
20260526-202723-sentence-script-a-semi-transparent-cell-6760fd,20,2026-05-27T01:27:25.845569+00:00,2.233333,1,False,True,PLAYFUL_FLOW,2.233333,0.0,0,False,16,4,0,0.91669,1.539099,0.629533,-0.495278,-0.281688,-0.255907,1.2344,2.217998,0.670623,False,False,2,2,1,1,0,1,2,55,90,False
20260526-202723-sentence-script-a-semi-transparent-cell-6760fd,21,2026-05-27T01:27:25.963635+00:00,2.35,1,False,True,PLAYFUL_FLOW,2.35,0.0,0,False,16,4,0,0.937563,1.556646,0.635982,-0.492733,-0.275905,-0.331005,1.240206,2.244584,0.695386,False,False,2,2,1,1,0,1,2,55,90,False
